Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0814741940074142e-09,8.070983166205762e-10,5.990884668414119e-10,4.4094929303440786e-10,3.1974870000801037e-10,2.2941929577792638e-10,1.6302538544718493e-10,1.1480955706023223e-10,8.027063188212793e-11,5.5610210973905116e-11,3.796995288004472e-11,2.528411073352732e-11,1.6283125017744587e-11,1.0092778019370344e-11,5.998773686596902e-12,3.414278527580408e-12,1.861448649670191e-12,6.732483330349662e-09,6.055327843707629e-09,5.2902821073201624e-09,4.459438754242984e-09,3.712113795347969e-09,3.0642219388164207e-09,2.5357326362149246e-09,2.0706971238737045e-09,1.6717409158665061e-09,1.3293282836343218e-09,1.040353086536846e-09,8.050436069126873e-10,6.104797804263435e-10,4.536069029232571e-10,3.308011807502867e-10,2.3486928628077426e-10,1.625682834189034e-10,1.0974644320539306e-10,7.257790098264695e-11,4.724760055950994e-11,3.02745532915691e-11
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0814853360083794e-09,8.071099626154792e-10,5.991004172096335e-10,4.409611629052972e-10,3.197686846344273e-10,2.294693110964773e-10,1.6312725562067477e-10,1.14961874976975e-10,8.044234345227669e-11,5.575973403676763e-11,3.807030970468468e-11,2.5332511093214515e-11,1.629339712414507e-11,1.008267583835035e-11,5.9820085439834164e-12,3.3983505607724832e-12,1.8491394966340067e-12,6.732292538684486e-09,6.055136971393635e-09,5.290091127090672e-09,4.459247656993933e-09,3.711922589765132e-09,3.0640306020282084e-09,2.535541229108813e-09,2.070505902914396e-09,1.6715501804489346e-09,1.3291382111662849e-09,1.0401642907807013e-09,8.048578066034274e-10,6.102991106783288e-10,4.534328721640011e-10,3.306385420462989e-10,2.3473398141242384e-10,1.6248686559922912e-10,1.0974002045272683e-10,7.264369662234472e-11,4.735799907138796e-11,3.0384013673185056e-11
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0814965707083642e-09,8.071217480495327e-10,5.991124385353616e-10,4.409732628283418e-10,3.197902374444299e-10,2.2952350693305458e-10,1.6323555290851469e-10,1.1512059021476534e-10,8.061799089681298e-11,5.590998009712e-11,3.816917748260871e-11,2.5378741269550394e-11,1.63018523653981e-11,1.0071414357319199e-11,5.9646365976994225e-12,3.382157432786301e-12,1.836739729199894e-12,6.73209735817746e-09,6.054941740936112e-09,5.289895836545728e-09,4.4590523228135906e-09,3.7117272401685323e-09,3.063835236232096e-09,2.535345941282399e-09,2.0703110014011753e-09,1.6713559966486664e-09,1.328944967181477e-09,1.0399727249312705e-09,8.04669778950125e-10,6.10116784020214e-10,4.5325780116801404e-10,3.304760938726968e-10,2.346013891388893e-10,1.6241151560053368e-10,1.0974210624957236e-10,7.271808927167871e-11,4.747455249305741e-11,3.049625394119509e-11
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.081507919035152e-09,8.071336923279418e-10,5.991245448659088e-10,4.4098566076370954e-10,3.1981359404775877e-10,2.295823228587584e-10,1.633508082273368e-10,1.1528615566096216e-10,8.079785493262868e-11,5.606107029615564e-11,3.826657677298101e-11,2.5422771078203098e-11,1.6308439707635385e-11,1.0058938770238289e-11,5.946610439828458e-12,3.365664859780384e-12,1.824228038508737e-12,6.731897446197458e-09,6.0547418118409224e-09,5.289695898513617e-09,4.4588524193142195e-09,3.7115274199196845e-09,3.0636355224303583e-09,2.5351464638732036e-09,2.0701121223759083e-09,1.671158079554905e-09,1.328748283583177e-09,1.0397781477168265e-09,8.044793105944819e-10,6.099326073398958e-10,4.530815387843823e-10,3.3031381010770376e-10,2.3447170138986846e-10,1.6234263825092127e-10,1.0975319434651672e-10,7.280151514828571e-11,4.759753611857164e-11,3.0611429753324715e-11
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.081519402901743e-09,8.071458146627321e-10,5.991367507470525e-10,4.409984347450819e-10,3.198390134544105e-10,2.2964622001623445e-10,1.6347354871429417e-10,1.1545898707039065e-10,8.098216162278625e-11,5.62130785821592e-11,3.8362502654630776e-11,2.5464564247514508e-11,1.631311185365657e-11,1.004520086290524e-11,5.927889014129915e-12,3.348843359584676e-12,1.811585987467425e-12,6.731692514456423e-09,6.0545368980930525e-09,5.289491030495053e-09,4.458647669001369e-09,3.7113228575222713e-09,3.0634311971857545e-09,2.534942544053255e-09,2.0699090251152445e-09,1.6709562005084568e-09,1.328547949075611e-09,1.0395803753268107e-09,8.042862444139512e-10,6.097464412752742e-10,4.5290398951931433e-10,3.3015172892072405e-10,2.343451793691791e-10,1.6228069333202897e-10,1.0977379867850399e-10,7.289439198634553e-11,4.772718169420109e-11,3.072965635988176e-11
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0815310413587324e-09,8.071581303829991e-10,5.991490684142557e-10,4.410116719207254e-10,3.19866779011609e-10,2.297156836305581e-10,1.6360430289664414e-10,1.1563947241778811e-10,8.117109413969827e-11,5.636604028061821e-11,3.845692649884956e-11,2.5504076042538858e-11,1.6315823173878778e-11,1.003015807998839e-11,5.908436710679222e-12,3.3316673223709576e-12,1.7987976221462523e-12,6.731482321812804e-09,6.054326760958924e-09,5.289280997460626e-09,4.458437842062335e-09,3.7111133294115484e-09,3.063222045423293e-09,2.534733977825989e-09,2.069701517909712e-09,1.670750179924475e-09,1.3283438021092931e-09,1.0393792744144032e-09,8.040904725289982e-10,6.095581936585664e-10,4.527251082509407e-10,3.299899491748811e-10,2.342221514751556e-10,1.6222619516551804e-10,1.0980445545156924e-10,7.299712388962105e-11,4.7863684235565197e-11,3.085101468483506e-11
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0815428523268918e-09,8.071706525210224e-10,5.991615098697435e-10,4.4102547165401744e-10,3.198972019275535e-10,2.2979122612455185e-10,1.637436035696943e-10,1.1582797504207585e-10,8.136479610328774e-11,5.651995528950198e-11,3.854979852408718e-11,2.5541254304070824e-11,1.631652896996088e-11,1.0013772060901358e-11,5.888222281735884e-12,3.314114460164886e-12,1.7858491223042345e-12,6.731266668838109e-09,6.054111203548762e-09,5.289065606403134e-09,4.45822275090117e-09,3.7108986544806013e-09,3.0630078949565833e-09,2.5345206045284725e-09,2.0694894525203266e-09,1.6705398817634961e-09,1.328135725437927e-09,1.039174756639849e-09,8.038919307494854e-10,6.093678143238603e-10,4.525448962768842e-10,3.2982862802912115e-10,2.341030119422576e-10,1.6217971204161896e-10,1.098457240839382e-10,7.31101043837085e-11,4.800720700410375e-11,3.0975556102391356e-11
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0815548528017827e-09,8.071833919583806e-10,5.99174087744698e-10,4.4103994777132784e-10,3.19930624186549e-10,2.2987338955334859e-10,1.6389198996227324e-10,1.1602483660213005e-10,8.156337541957985e-11,5.6674791595680156e-11,3.8641049802838225e-11,2.557603977476014e-11,1.6315184773173816e-11,9.996007674006564e-12,5.8672180505855225e-12,3.2961652962340113e-12,1.7727285118701383e-12,6.7310453937680995e-09,6.053890066761611e-09,5.2888447022688484e-09,4.458002246047259e-09,3.71067868997428e-09,3.0627886123734675e-09,2.5343023026780813e-09,2.0692727199597605e-09,1.670325209309337e-09,1.3279236419569027e-09,1.038966774438522e-09,8.036905941725117e-10,6.091752910364975e-10,4.5236339849865367e-10,3.296679795881736e-10,2.3398822014611387e-10,1.6214186561539596e-10,1.0989818734254467e-10,7.323371813854358e-11,4.8157885089528826e-11,3.110330618023915e-11
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0815670590117722e-09,8.071963575424805e-10,5.991868162457708e-10,4.4105523100532153e-10,3.199674215519334e-10,2.2996274774526116e-10,1.640500091409087e-10,1.162303789830401e-10,8.176690711714409e-11,5.6830488122360624e-11,3.8730594020610425e-11,2.5608366494696903e-11,1.631174585167236e-11,9.976832261101923e-12,5.845399270418068e-12,3.277802741517688e-12,1.7594254142138099e-12,6.730818369547631e-09,6.05366322632238e-09,5.288618164977867e-09,4.457776213148574e-09,3.710453328463959e-09,3.062564099996533e-09,2.5340789868823156e-09,2.0690512473224254e-09,1.6701061019862149e-09,1.3277075115631561e-09,1.0387553177618307e-09,8.034864737006636e-10,6.089806463505669e-10,4.521807015852652e-10,3.2950827447096677e-10,2.3387830050153336e-10,1.621133303294084e-10,1.099624508992362e-10,7.336834169840929e-11,4.831582793648086e-11,3.1234267605532106e-11
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0815794865338108e-09,8.072095561870132e-10,5.991997122144372e-10,4.410714716583006e-10,3.200080066730763e-10,2.3005990820534152e-10,1.642182168017765e-10,1.1644490537644353e-10,8.197543539470337e-11,5.69869570342227e-11,3.8818329013098767e-11,2.563816222901377e-11,1.6306166871461846e-11,9.956215046510317e-12,5.822743604591524e-12,3.259011743034837e-12,1.745930845034804e-12,6.7305855017434166e-09,6.053430590685474e-09,5.288385907308673e-09,4.457544570826304e-09,3.7102224956814493e-09,3.0623342936979266e-09,2.533850605592199e-09,2.0688249954474517e-09,1.6698825330051988e-09,1.3274873288309105e-09,1.0385404115900775e-09,8.032796132959193e-10,6.087839352415795e-10,4.519969329921876e-10,3.293498401897566e-10,2.33773842880368e-10,1.6209483288078673e-10,1.1003914245266303e-10,7.35143434617004e-11,4.8481121071757716e-11,3.1368422464928674e-11
